,Unnamed: 0,Company_Name,Email_Address,Phone_Number,Address
28,28,EV Hive Coworking Space,info@.......co,021 73910333,"The Maja 1st floor Jalan Kyai Maja No. 39 South Jakarta, 12120 Indonesia, Jakarta Jakarta, 12120"
29,29,A Brass Turned Parts Components,sales@.......com,022 43449300,"Denpasar Bengkulu, 65478"
30,30,Mitsuba Indonesia Produk Utama Kami Berupa Spare Parts,pensilwarna1@.......com,0856-5905-5326,
31,31,PART BIKES (www.part-bikes.com),customerpartbikes@.......com,0823-6053-5678,"Jl. Walikota Mustajab No.4 Surabaya (East Java) Indonesia 60141, Surabaya East Java, 60141"
32,32,KTJ MOTOSHOP,ktjmotoshop@.......com,021 5522911,"JL. DAAN MOGOT RAYA NO.9A TANAH TINGGI, Jakarta Jakarta, 10740"
33,33,CV. Garpu Mandiri,garpumandiri@.......com,0778 432079,"Jl.Imam Bonjol Komp Batama No.08 Batam Indonesia., Batam Riau, 29436"
34,34,Surya Diesel Turbo Indonesia Fuel Injection & Turbocharger,darmadi_ang@.......com.sg,061 4146714,"Jl. Irian Barat No. 65/81 Medan Indonesia, Medan North Sumatra, 20231"
35,35,PT. DOBITEC GLOBAL,pt.dobitec_global@.......com,,"BRANCH. SRENGSENG. BAMBU 1 NO 50e. KEMBANGAN. JAKARTA. INDONESIA, JAKARTA BARAT Jakarta, 11630"
36,36,Kc Parts,info@.......net,021 54378888,
37,37,turbine parts,sales.dwitama@.......com,0622 27835518,"CV. DWITAMA MULYA PERSADA, Bandung West Java, 40615"
38,38,Grease-parts,sales@.......com,021 96482259,"jl.panjang arteri kedoya no.9A, Jakarta barat Jakarta, 11520"
39,39,MANDIRI PERKASA,cv.mandiri.perkasa@.......com,0857-3080-2277,"Kupang segunting V/2, Surabaya East Java, 60264"
40,40,PT. Indotyre Mandiri Sentosa,,216457106,"Ruko Marinatama, blok G 12 - 12A, Jl Gunung Sahari Raya 2 RT01/RW13, Pademangan., Jakarta Utara, 14420"
41,41,Permaisuri,,217211239,"Jl. Mahakam No.5, RT01/RW06, Kebayoran Baru, Jakarta Selatan, DKI Jakarta, Jakarta Selatan 12130"
42,42,BIG BAN,,81380766212,"Jl. Soekarno Hatta KM.1, No.2, Gunung Samarinda Kecamatan Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76124"
43,43,Paris Antiques Gallery,info@.......com,021 31900930,
44,44,Kerudung Jilbab Paris,citra_tex@.......com,,"Malang East Java, 65117"
45,45,Metal Hardware Parts Factory,,061 675837,"Metal Parts Park, Jambi Banten, 361004"
46,46,New Motorcycle Invoice Prices,message@.......com,0818-0216-1927,
47,47,"KAMPUNG BIKERS ""MOTORCYCLE ACCESORIES""",kampungbikers@.......com,0838-8818-434,"Jlswadharma Vi No5 Rt00208 Kompbni Ulujami Pesanggrahan Jakarta Selatan 12250, Jakarta Jakarta, 12250"
48,48,Alatmobil,,021 6414525,"Komp Rukan Permata Ancol Blok B9,, 14420"
49,49,STAR CELLULAR PERBAUNGAN,starcellularperbaungan@.......com,,"JL.KABUPATEN NO.30 PERBAUNGAN - SERDANG BEDAGAI, PERBAUNGAN North Sumatra, 20986"
50,50,SURYA MAS MANDIRI,suryamasmotor@.......co.id,021 53679205,"Kemandoran, jakarta Jakarta, 11110"
51,51,PD.GUNUNG MAS,senali_usli@.......co.id,,"Jl. Taman Sari Raya No. 88, Jakarta Barat Jakarta, 11150"
52,52,Leasing Office space,salamrahardjo@.......com,021 6922482,"tata building Jl,Roa malaka utara no.5-6 jakarta barat 11230, Jakarta Jakarta, 11230"
53,53,Boss Noss Motorcycle Carb Nitrous Oxide System Kit,ef090661@.......net.id,0778 459407,Riau
54,54,"penjualan alat-alat berat, service dan spare part",slamet@.......com,0812-9937-191,"jl. cakung cilincing raya 203, cakung jakarta timur, Jakarta Jakarta, 13910"
55,55,Tldsparepart,tldsparepart@.......com,0812-8613-4308,"Mulyosari Prima Utara I / MT-42,, 60112"
56,56,Kaliperkit,davinoctavianus6564@.......com,0343 4343433,"jakarta Jakarta, 11530"
57,57,SINAR CAHAYA MANDIRI.PD,taiton.neil@.......com,021 6257387,"Taman sari raya komp,mega spare parts blok D16 no.1 Jakarta, Jakarta Jakarta, 11150"
58,58,oko_company,okocompany@.......com,0856-4969-8293,"perum pondok rindang c.157-pakisaji-malang, Malang East Java, 65146"
59,59,PACIFIC TRACTOR INDONESIA,pacific.tractor@.......com,021 42882103,"BUNGUR BESAR 17. BLOK 7 No. B5, JAKARTA PUSAT Jakarta, 10610"
60,60,Restu Filter,theresialeli@.......com,,"Jl.Candi lontar tengah I blok 43c no 2, Surabaya East Java, 60216"
61,61,"Guang Zhou Titu Auto Parts Co.,Ltd",,0622 06305,"3A04 Room,C3 Building,, Guang Zhou Bali, 51050"
62,62,Kapuas Space,,0813-5244-2659,
63,63,Space Tribe,,0623 61731735,
64,64,Medan Space,,0812-3052-6789,
65,65,Space Gass,ind@.......com,0811-102-210,"Jalan Jl Garuda No4, Jakarta Jakarta, 12330"
66,66,Bali Space,balispacemagz@.......com,0623 61248343,
67,67,Space Toon,kritik-saran@.......co.id,061 4143145,"Jalan HMSaid No2, N (d/h Jln Durian) Medan North Sumatra, 20235"
68,68,Suare Elektonik,sindrawatiningsih@.......com,031 72575932,"Taman Siwalan Indah Blok D26 Menganti Gresik, Gresik East Java, 61174"
69,69,sparx advertising,sparx_10@.......com,021 83245050,"jl. raya alternatif cibubur no 8a. depan kota wisata, bekasi East Java, 17433"
70,70,ems spares,emsspares@.......com,0627 78460503,"block c-3 no:4, batam Riau Islands, 29342"
71,71,Mika Spart,mikaspart@.......com,,"Jl.A6 Blok A14 No.6 Teluk Gong, Jakarta Jakarta, 10150"
72,72,PT. Blessindo Prima Sarana,bps_cs1@.......com,021 6248731,"Jl. Taman Sari Raya, Jakarta Jakarta, 11150"
73,73,Q-BIC Space - Interior Consultant & Contractor,info_qbicspace@.......com,0623 17450705,"Ruko Taman Internasional A-21, Citraland, Surabaya East Java, 60217"
74,74,Xbox Parts 360,frestale@.......com,0856-4373-9583,"Jl DR Suparno Perum Bumi Arca Indah Blok 14/ 4b,, 52371"
75,75,Direct Turbine Parts,info@.......com,021 65317808,"Ji Danau Cincin Utara Blok E/10-B, Jakarta Utara Jakarta, 14350"
76,76,Vw Parts Indonesia,info@.......com,0628 18164888,"Jalan Rawamangun Muka Selatan 13,, 13220"
77,77,Parts Sentra Indomandiri,info@.......com,0542 7204404,
78,78,Power Parts Diesel,powerpartsdiesel@.......com,021 62303000,"Jl Karang Anyar Raya Blok A10 No 2, Jakarta Pusat Jakarta, 10740"
79,79,Eastern Refrigeration Parts,eastern_refparts@.......com,031 5345362,"JL. KEDUNGDORO NO. 116, Surabaya East Java, 60251"
80,80,TRAKINDO PERKASA PARTS,trakindoparts@.......com,021 83707606,"MENARA IMPERIUM, JAKARTA SELATAN Jakarta, 12980"
81,81,PT. UNGGUL JAYA SAKTI,unggul-bpn@.......net.id,0542 7204270,"Komp. Balikpapan Baru Sentra Eropa 3 blok AC 5 no.7, Balikpapan East Kalimantan, 76114"
82,82,Onderdil Alat Berat,,021 91177318,
83,83,Gorokompie,,0812-6018-033,
84,84,Agansa,info@.......com,0622 26070718,"sentra tropodo blok c-32, surabaya, 61256"
85,85,pelita notebook,hamdani77@.......com,0813-5555-4945,"jl.pelita raya no.34, Makassar South Sulawesi, 90144"
86,86,SINDORO MOTOR,sindoro_motor@.......com,021 93684338,"JL.LINGKAR LUAR, WISMA ASRI, BEKASI UTARA., BEKASI East Java, 12712"
87,87,PT. Bekasi Berkah Abadi,bekasi_berkah_abadi@.......co.id,021 8811340,"Jl. P. Diponegoro KM38 no. 5A, Bekasi West Java, 17510"
88,88,PT.KOBEXINDO PRIMA ABADI,kobexindoprimaabadi@.......co.id,,"JL.GARUDA NO.109, Jakarta Jakarta, 10610"
89,89,sinar toko tiga,nyo_c@.......com,021 98223756,"jalan toko tiga 45, Jakarta barat Jakarta, 11230"
90,90,Bintang Nusantara Jaya,stars_elevator@.......co.id,,"JaCC Blok F2 No 6, Jakarta Jakarta, 12330"
91,91,Cv.Sumber Abadi Teknik,sumberabaditeknik.sby@.......com,0812-1604-0363,"Kupang krajan tengah 53b, Surabaya East Java, 60253"
92,92,Realita Utama Carbon,rcb.bdg999@.......com,022 70517234,"Jl. Singkur Mulya No.33B Pasantren VI - Cimahi Utara - CIMAHI - JABAR, Cimahi West Java, 40715"
93,93,Best Motorcycle Ride Tips & Guide,,0623 41485397,"Jl Pudak No 8, Malang EAST JAVA, 65141"
94,94,Sakura Central Solution,eddy@.......com,021 7190253,"jalan bangka raya 110, Jakarta Jakarta, 12720"
95,95,Astra Motor,hso.honda@.......com,021 65310250,"Jl Gaya Motor Raya No 8 Sunter II, Jakarta Jakarta, 14330"
96,96,"Sutan Mudo Sukses Mandiri, PT",pt.sutanmudo@.......com,0264 8221200,"Jln. Raya Ipik Gandamanah No. 337, Purwakarta West Java, 41118"
97,97,Malindo,cs@.......com,0622 16125668,"Jl Lintang Raya Blok F No1,, 16810"
98,98,Olc888,,021 62302700,
99,99,Citralindo,,021 6256720,"Jl Taman Sari Raya No 90F, Jakarta Barat Jakarta, 11150"
100,100,lampuprojectorku.com,info@.......com,021 99773020,"PGC Lt.3A No.633 Cililitan, Jakarta Timur Jakarta, 13640"
101,101,"Atak Otomotif Indometal, Pt",,031 8541872,"Jl. Ngingas Selatan 21 Waru, Sidoarjo Jawa Timur, 61256"
102,102,KARET CONVEYOR JAKARTA,mulyajayaperkasa@.......com,0821-3642-9948,"Jl.Letjen Suprapto No.7A, Jakarta Pusat Jakarta, 10660"
103,103,wahyu oil,wahyu_oil007@.......com,021 96212272,"jl. h.taiman no.12, jakarta timur, jakarta timur Jakarta, 13760"
104,104,PT. Duta Cendana Adimandiri,office@.......co.id,0251 8241123,"Jl. Raya Ciawi Km.8, Bogor West Java, 16720"
105,105,ZONE COOL TEHNIK,camto.zonecool1@.......com,021 70366775,"JL.CEGER RAYA NO34,JURANG MANGU, Tangerang Banten, 15221"
106,106,PT. Wahanaartha Ritelindo,wah_bal@.......com,021 5950913,"Jl. Raya Serang KM. 24 Balaraja - Tangerang, Kab. Tangerang Banten, 15000"
107,107,Paris Motif,,0821-2340-0045,
108,108,Paris Toko,,021 3923955,"Jl Srikaya 2, Jakarta"
109,109,Paris Interior,,021 7432430,"Jl Siliwangi Bl Sh 21/6, Jakarta"
110,110,Paris Foto,,061 8213178,"Jl Letjen Jamin Ginting 468/92, Medan"
111,111,In Paris,,031 7311661,"Jl Darmo Baru Brt Vii/24, Surabaya"
112,112,Idf Paris,admin@.......com,0812-8651-2295,"JL BANK RAYA 2 - 15B,, 12470"
113,113,Bonjour Paris,,021 5681537,"Mal Ciputra 3, Jakarta"
114,114,Jilbab Paris,,0812-1450-3957,
115,115,Paras Estetika,parasestetika_cv@.......com,0274 6899598,"Jl Larasati 32,, 55198"
116,116,O Party,cbudiharsa@.......com,0361 7801238,
117,117,Callalily Party,callalilyparty@.......com,0274 9126277,
118,118,Party-4us,info@.......com,021 66691255,
119,119,Paris Media,,021 68908515,"Jl Sersan Iddris No23 Kelurahan Marga Jaya,, 17141"
120,120,Paris Jewellery,,021 6347073,"Gajah Mada Plaza 75, Jakarta"
121,121,Paris Toko,,021 3905410,"Jl Pegangsaan Tmr 7 Bl B/3, Jakarta"
122,122,Paris Toko,,021 7210539,"Jl Iskandarsyah 112 B, Jakarta"
123,123,Paris Toko,,061 4146615,"Jl Dr Sutomo 650, Medan"
124,124,Paris Fashion,,021 6014940,"Jl Arteri Mangga Dua Raya Pus Perdag Psr Pagi Mangga Dua Bl B/66-, Jakarta"
125,125,Paris Fashion,,061 6619436,"Jl Kom L Yos Sudarso 174, Medan"
126,126,Paris Perabot,,061 4536634,"Jl Perdana 34, Medan"
127,127,Party Balon,,,"Sentra Niaga Blok T1 No. 33, Jakarta Jakarta, 11610"
128,128,saladin party,saladinparty@.......com,021 94175574,"jl.raya condet jakarta timur, Jakarta Jakarta, 15351"
129,129,Jasmine Party,jasminepesta@.......com,,"Jakarta Jakarta, 16431"
130,130,PT. LAJU MANDIRI Pontianak,sales@.......co.id,0852-5264-6768,"Jl.Sei Raya Dalam,Gang Raya 5,Perumahan Raya Indah Blok F9, Pontianak West Kalimantan, 78391"
131,131,Artha Anugerah Traktor,info@.......com,021 62304957,"Kompleks Ruko 55 Karang Anyar Permai,, 10740"
132,132,Asuki Batam,11@.......com,0627 78430001,
133,133,Bengkel Mobil Jakarta | Beauty Power,service@.......co.id,021 7211002,"Jalan Hang Jebat 9 No.12, Jakarta Selatan Jakarta, 12000"
134,134,Sarana Sumber Sejahtera,sarana.sby@.......com,031 8474767,"Ruko Panji Makmur D-08, Surabaya East Java, 60299"
135,135,PT. Euroasiatic,wimpy.moniaga@.......com,021 56960555,"Jl. Daan Mogot Raya 44, Jakarta Jakarta, 11460"
136,136,PT.HEBRO MANDIRI,hebro.mandiri@.......com,0622 14352774,"JL.SWASEMBADA BARAT XX NO.47, JAKARTA UTARA Jakarta, 14320"
137,137,CV. PERFECT RADIATOR & COOLERS,gardy8866@.......com,0778 412798,"KOMP. BUSINESS CENTRE BLOK D NO 1, Batam Riau Islands, 29451"
138,138,eka z motor,suparto11@.......com,0877-7217-1200,"pandeglang kop bpi kaduhejo, Pandeglang Banten, 42281"
139,139,Focus e-Smart : www.tokopcgamer.com,tokopcgamer@.......com,,"Hi-Tech Mall Lt. 1 blok A No.; 11 Jl. Kusuma Bangsa 116, surabaya East Java, 14154"
140,140,Asridata,sales@.......co.id,,"Jalan Raya Cihanjuang No.119 Cihanjuang, cimahi utara West Java, 40559"
141,141,ud.surya perdana motor,zachya_23@.......com,0818-0872-3328,"cipinang, jakarta timur, jakarta Jakarta, 13420"
142,142,Rumah MobilMotorKu.com,rumahmobilmotorku@.......com,021 71453178,"jakarta, Jakarta Jakarta, 13720"
143,143,Seltech Utama (Jakarta),titian.pramudya@.......com,,"Jl. Brigjen Katamso, Jakarta Indonesia Jakarta, 11420"
144,144,PT. Wiratama Lusindo,cs@.......com,021 87754859,"Jl. Taruna Jaya, Mufakat, No.78 Cibubur, Jakarta Timur Jakarta, 13720"
145,145,CV GLOBAL ENGINEERING,eri@.......co,021 94936693,"Kp Telaga Murni 113, Bekasi West Java, 17841"
146,146,BENGKEL SEPEDA,,0813-4561-3003,"PONTIANAK West Kalimantan, 78123"
147,147,AHOJA CELLULAR,ahojacelluler@.......com,0812-4900-500,"Jl. Raya Sumberayu, Selatan balai desa Sumberberas, Banyuwangi East Java, 68411"
148,148,Part Genset,,021 62309703,"Jl Mangga Besar IX No 2D-1,, 11170"
149,149,Part Of,info@.......com,0623 61738516,"Jalan Drupadi No 9Q,, 80361"
150,150,part batik,yudapart@.......com,0857-2511-4830,"bali, Denpasar Bali, 80111"
151,151,part-notebook.com,trtjaya@.......com,0816-1322-531,"Ruko Jembatan 3 no. 11 J jakarta-utara, Jakarta Jakarta, 11730"
152,152,Jodog Creative Space,madejodog@.......com,0623 61977321,"POBox 35,, 80571"
153,153,Joned Art Space,joned.art@.......com,0856-3309-256,
154,154,Jazb Beauty Space,info@.......com,0623 61738882,
155,155,Clear White Space,jo@.......com,0361 7932328,
156,156,Philo Art Space,info@.......com,,"Jl Kemang Timur 90 C,, 12730"
157,157,North Art Space,sales@.......com,021 64710319,"Jl Lodan Timur No 7,, 14430"
158,158,Third Eye Space,weare@.......com,0622 17394050,"Jl Nangka 1 No6 Cipete Utara,, 12150"
159,159,Space For Living,ikeaforideas@.......com,0878-7830-5009,"Bellanova Country Mall GS 2 no 9, Sentul City, 16180"
160,160,Syang Art Space,syang_art@.......com,0622 93360963,"Jl MT Haryono No 2, Magelang Central Java, 56122"
161,161,Share For Others,info@.......org,0622 15706970,"Jl Jend Sudirman Kav 7-8, Jakarta, 10220"
162,162,Monolog Space Design,monologspacedesign@.......com,0812-9779-8823,"15a Jl. Duri (Tss Raya), Jakarta, 11270"
163,163,PT Visual Space,visualspace8@.......com,0877-7530-0559,"Ruko Permata Ancol Blok O no 5 Pademagan jAKARTA uTARA, Jakarta Jakarta, 14420"
164,164,Indoniles Electric Parts Pt,,031 3984373,"Jl Mayjen Sungkono 8 Gs, Surabaya"
165,165,Indonesian Racing,redaksi@.......com,0325 239429,
166,166,Pusat Komputer Online,info@.......com,031 5450108,
167,167,Gemateknika Toolindo Sistema,sales.admin@.......gts.co.id,021 89920695,"Jl Aster Raya No57, Bekasi West Java, 17550"
168,168,Buka Laundry,sales@.......com,021 49002828,"Diamond Boulevard J 01/01,, 11730"
169,169,PT.SUPRAEKA KARYAPRIMA,sahat@.......com,0813-8406-4109,"Jl.Sunter Kemayoran No.55 Jakarta Utara, Jakarta Jakarta, 14350"
170,170,Pits Teknik Master Genset,mydewaz@.......com,0361 725027,"Jl. Raya Sesetan 295, Denpasar, Denpasar Bali, 80111"
171,171,ServisKursiKantor.Com,serviskursikantor@.......com,021 37850462,"Jl. Satu Maret No. 99, Jakarta Jakarta, 11830"
172,172,PT. Raya Indo Fortuna,lina@.......com,0622 15843557,"Jl. Raya Pos Pengumben No.39B Srengseng - Jakarta Barat 11630, Jakarta Barat Jakarta, 11630"
173,173,Polyurethane Product,xyzrendi@.......com,021 94278096,"Medang Lestari Blok D IV/C No.23, Tangerang Banten, 15820"
174,174,MURAH MOTOR,murahmotor@.......com,0813-9001-4065,"Jl. Raya Ungaran Gunungpati km 2, SEMARANG Central Java, 50155"
175,175,Suka Damai,,021 6267380,"Jl Karang Anyar Raya, Jakarta Jakarta, 11150"
176,176,Cv Kafitec,kafitecbandung@.......com,022 7234066,"Jl.Babakan Hantap Rt 03 Rw 08 no 11, Bandung West Java, 40281"
177,177,Toko AVR,part@.......com,021 99310968,"Lindeteves Trade Center (LTC) Fl. GF 1 blok C-28 no. 1 Hayam Wuruk #127, Jakarta Jakarta, 11160"
178,178,Hotel Flores Sare,reservation@.......com,0623 8121075,
179,179,UD. ABDUL MANAF JAYA,essammanaf@.......com,0810-1703-946,"jl kolonel sugiono ngingas selataan rt03 rw01 waru sidoarjo, Sidoarjo East Java, 61256"
180,180,PT. LAJU MANDIRI,hrd@.......co.id,0813-3311-0644,"Ruko Ifolia Blok HY 46 Nomor 46, Kota Harapan Indah, Bekasi West JAva Indonesia, Bekasi West Java, 17214"
181,181,CV. Rizanta Indonesia,sales@.......co.id,031 5677169,"Jl. Raya Gunungsari No. 126 Surabaya, Surabaya East Java, 60242"
182,182,Sumato Adhi Pratama,sumato.ap@.......com,,"Komplek Mega Spare Part BLok D06 No 1-2B, Jakarta Jakarta, 11150"
183,183,Service Genset Jakarta,servicegensetjakarta@.......com,021 6259104,"Jl. Hayam Wuruk 61, Jakarta Barat Jakarta, 11160"
184,184,Surya Kencana Variasi Motor,suryakencana.variasi@.......com,031 70015189,"Ruko Gading Fajar II Blok D1 no 3, Sidoarjo East Java, 61252"
185,185,gudang velg mobil,riyanr228@.......com,0811-1848-441,"surya kencana no 17 pamulang barat pamulang barat, pamulang, 15417"
186,186,Sentral Yanmar Prambanan,,0812-1602-4240,"Jl Jogja Solo Km19 No9,, Indonesia, Prambanan, 57454"
187,187,Jayalift mitra perkasa,jayalift@.......com,0896-3181-5081,"Jln. Poncol IV No. 31 A, Jati Padang, Pasar Minggu, Jakarta Selatan Jakarta, 12540"
188,188,Party Balloons Shop,partyballoonsshopindonesia@.......com,0822-2563-5555,
189,189,Swiss Paris Lotion,sales@.......com,0896-9822-2948,"AGUS SUNARTO JLKAMBOJA V no 32,, 25132"
190,190,Kenzo Paris Boutique,,021 3107563,"Jl Mh Thamrin Kav 28-30, Jakarta"
191,191,Royal Party Organizer,badut-ku@.......com,021 36519997,
192,192,Parta Jaya Cv,,031 7493137,"Jl Margomulyo 44 D/3, Surabaya"
193,193,Paris Collection Toko,,061 7363945,"Jl Mh Thamrin Psr Ramai 476, Medan"
194,194,Marret Party Service,info@.......com,031 70574007,
195,195,Parfum Les Paris,,021 7209282,"Blok M Plaza 220, Jakarta"
196,196,Paros Dian Wijaya,soediro@.......com,021 82650539,
197,197,Bali Private Party,info@.......com,0819-9911-1342,
198,198,Paris Batik Jogja,,0857-4197-8587,"Jl Kaliurang KM 57,, 55281"
199,199,Ria'S Party Shop,,031 8492133,"Jl Kalirungkut 66-66 A, Surabaya"
200,200,Paras Stone Carving,,0812-3986-080,
201,201,Paris Bakery Indonesia,info@.......com,0274 589939,"PT Paris Bakery Jalan AM Sangaji No 68A,, 55281"
202,202,Hotman Paris & Partners,,021 2522460,"Jl Jend Sudirman Kav 61-62 Summitmas I Lt 18, Jakarta"
203,203,Paras Rupa Photography,info@.......com,0878-6156-1009,
204,204,Badilany Parti Pt,,021 7974886,"Jl Raya Pasar Minggu 16 C, Jakarta"
205,205,An'Ge Paris Toko,,021 6016215,"Jl Mangga Dua Raya Ged Itc Mangga Dua Bl A/98, Jakarta"
206,206,Cafe De Paris,,021 71793470,"Jl Kemang Raya 90, Jakarta"
207,207,Club De Paris,,061 4537733,"Jl Kol Sugiono 16 Cdef, Medan"
208,208,PARIS KONVEKSI KAOS,pariskonveksi@.......com,021 93896574,"BEKASI, Bekasi West Java, 17114"
209,209,""" PARIS "" CAKE & BAKERY",budisuryanto21@.......com,0813-2531-7888,"Jl. Sapta Prasetya 4 no1, Semarang Central Java, 50192"
210,210,Thinker Party Planner,gg.sandi@.......com,0813-3828-3913,"Perum Pesona Udayana, Jalan goa gong, bukit jimbaran, Denpasar Bali, 80361"
211,211,Sophie Martin Paris,imelsampah@.......com,0852-6080-9605,"Jl. Singgalang No. 39, Bandaaceh Nanggroe Aceh Darussalam, 23243"
212,212,Hokky Kids Party,dewa.badut.bali@.......com,0361 3076420,"Sidakarya - Denpasar, Denpasar Bali, 80112"
213,213,Party Lover Organiser,partyloverorganiser@.......com,,"Denpasar Bali, Denpasar Bali, 80361"
214,214,New Raya Motor,sales@.......com,031 5451900,"Jl Kedung Doro 89, Surabaya East Java, 60261"
215,215,DEALER MOTOR SUZUKI MILENIUM KRANJI,susie.suzukimilenium@.......co.id,021 95188853,"Jl Sultan Agung km 28,5 Rawa Pasung, Bekasi East Java, 13771"
216,216,PT EIKA - Amphibi Excavator / Alat Berat / Pontoon,irwan@.......co.id,021 46620667,"Jl. Husein Sastra Negara No 199, Jakarta Jakarta"
217,217,Pd.Laris Jaya,pdlarisjaya@.......com,021 82495451,"raya narogong km 23, cileungsi West Java, 16820"
218,218,PT.SAKURA CENTRAL SOLUTION,kris.sakurasentral@.......com,021 7183448,"GRAHA OBOR 3 Lt.2, Dki JAKARTA Jakarta, 12720"
219,219,cahaya makmur sejahtera,cmsac.2011@.......com,021 62305522,"gedung lindetes trade center Jl.Hayam Wuruk 127 Lt. GF1 Blok C26-8, jakarta barat Jakarta, 11180"
220,220,Jayana Sewing Machine & Parts Co,,022 4260020,"Jl Otto Iskandardinata 204, Bandung"
221,221,"Turbomachinery Parts Manufacturing Indonesia, PT",sales@.......co.id,022 7834634,"Jl. Soekarno - Hatta No. 825, Bandung West Java, 40613"
222,222,Rejo Agung Bike Shop & Parts,,0623 15317061,"Kalianyar 19A, Surabaya Jawa Timur"
223,223,PT. LAJU MANDIRI,sales@.......co.id,0813-3311-0644,"Grand Boulevard Asia Tropis AT16 No.5 Harapan Indah Bekasi, Bekasi West Java, 17131"
224,224,MULUS TEKNIK,rista_makmur@.......com,,"Jl. dirgantara 06 no.76 Bumi Asri Cijerah, Bandung West Java, 40111"
225,225,Tjampaka motor,dikeuynf@.......com,0813-5234-5779,"Jalan Bandung- Garut KM. 27 Rancaekek (Parakan Muncang), kabupaten Bandung West Java, 40394"
226,226,Space At Bali Villas,info@.......com,0623 61731100,
227,227,Spade Tours And Travels,travel@.......com,021 83790333,"Gd Graha Spade,, 12820"
228,228,OFFICE SPACE IN JAKARTA,olivia@.......com,0812-9561-212,
229,229,Space Inter Designs Inc,,031 5633318,"Jl Raya Ra Kartini 102-104, Surabaya"
